"BusStopID","Longitude","Latitude","BusStopName","Name2","NbBusLine","BusLine","Lines"
"Stop_31",8.7777007,50.8048259,"Marburg Mitte","Marburg Mitte",0,"L","L"
"Stop_842",8.7642843,50.7710927,"Zum Neuen Hieb","Zum Neuen Hieb",0,"L","L-2"
"Stop_614",8.7717318,50.8256057,"Schlosserstraße","Schlosserstraße",0,"L","L-4-7"
"Stop_776",8.7747599,50.7861881,"Kreishaus, B4","Kreishaus",0,"L","L"
"Stop_816",8.774324,50.8174239,"Marburg, Hauptbahnhof (Fernbushaltestelle)","Marburg, Fernbusstation",0,"L","L-10"
"Stop_25",8.7717237,50.8060496,"Schulstraße","Schulstraße",0,"L","L-3"
"Stop_57",8.7739666,50.8190045,"Hauptbahnhof, B2","Hauptbahnhof",0,"L","L-1-2-3-4-5-6-7"
"Stop_765",8.7667221,50.7899957,"Stadtbüro, B2","Stadtbüro",0,"L","L-1-4-6"
"Stop_741",8.7726033,50.8086355,"Rudolphsplatz, B2","Rudolphsplatz",0,"L","L-1-2-3-4-5-6-7"
"Stop_209",8.7428149,50.8023272,"Herrmannstraße","Herrmannstraße",0,"L","L-5"
"Stop_755",8.7696989,50.8039852,"Auf der Weide/AquaMar","Auf der Weide/AquaMar",0,"L","L-3"
"Stop_407",8.7683792,50.8306213,"Aff�llerstra�e","Aff�llerstra�e",0,"L","L"
"Stop_774",8.7718972,50.7867867,"Kreishaus, A1","Kreishaus",0,"L","L-6"
"Stop_229",8.7509434,50.7976432,"Zwetschenweg","Zwetschenweg",0,"L","L-5-8"
"Stop_180",8.7667712,50.7898369,"Stadtbüro, A1","Stadtbüro",0,"L","L-1-4-6"
"Stop_840",8.7650653,50.7835944,"Umgehungsstraße/Im Rudert","Umgehungsstraße/Im Rudert",0,"L","L"
"Stop_751",8.7582289,50.8046614,"Wilhelmsplatz, C2","Wilhelmsplatz",0,"L","L-5"
"Stop_815",8.7736639,50.8188613,"Hauptbahnhof, B4","Hauptbahnhof",0,"L","L-1-2-3-4-5-6-7-10"
"Stop_731",8.768988,50.8070721,"Gutenbergstraße, A1","Gutenbergstraße",0,"L","L-1-2-3-4-5-7-8-9-10"
"Stop_447",8.7476623,50.8078455,"Elisabethenhof","Elisabethenhof",0,"L","L"
"Stop_853",8.7914543,50.8001863,"Hölderlinstraße","Hölderlinstraße",0,"L","L-6-7-9"
"Stop_777",8.8056549,50.8163655,"Universitätsklinikum, A1","Universitätsklinikum",0,"L","L-7-9"
"Stop_729",8.7668072,50.8079676,"Am Plan, A1","Am Plan",0,"L","L-10"
"Stop_738",8.7755739,50.807754,"Erlenring, B2","Erlenring",0,"L","L-6-8-9-10"
"Stop_288",8.766931,50.8300092,"Marburg-Messe","Marburg-Messe",0,"L","L"
"Stop_617",8.7589986,50.8034813,"Wilhelmsplatz, A5","Wilhelmsplatz",0,"L","L-1-2-4-5-7-8"
"Stop_760",8.7612416,50.7966086,"Gisselberger Straße, A1","Gisselberger Straße",0,"L","L-3"
"Stop_739",8.774357,50.8104159,"Erwin-Piscator-Haus","Erwin-Piscator-Haus",0,"L","L-1-2-3-4-5-6-7"
"Stop_735",8.7686135,50.8076293,"Hanno-Drechsler-Platz","Hanno-Drechsler-Platz",0,"L","L-10"
"Stop_277",8.7671345,50.8270772,"Marburg-Messe","Marburg-Messe",0,"L","L"
"Stop_814",8.7733925,50.8184423,"Hauptbahnhof, A5","Hauptbahnhof",0,"L","L-1-2-3-4-5-6-7-10"
"Stop_813",8.7708023,50.8073357,"Garten des Gedenkens, B2","Garten des Gedenkens",0,"L","L-1-2-3-4-5-7-8-9-10"
"Stop_752",8.7595469,50.8054267,"Wilhelmsplatz, D1","Wilhelmsplatz",0,"L","L-10"
"Stop_746",8.7598172,50.8013013,"Radestraße, B4","Radestraße",0,"L","L-1-2-4-7"
