"BusStopID","Longitude","Latitude","BusStopName"
"79","Stop_120",8.7691177,50.8162888,"node/552415590"
"80","Stop_123",8.7665537,50.8023273,"node/654083899"
"81","Stop_126",8.7681514,50.7816091,"node/702474105"
"82","Stop_127",8.744533,50.8064249,"node/803881682"
"83","Stop_129",8.7774811,50.8052699,"node/828464173"
"84","Stop_130",8.7889535,50.7916627,"Marburg"
"85","Stop_133",8.7898907,50.7957556,"node/1080698028"
"86","Stop_134",8.7580905,50.7884684,"node/1094571413"
"87","Stop_135",8.7605852,50.8378501,"node/1094996385"
"88","Stop_136",8.7604458,50.8375571,"node/1094996404"
"89","Stop_137",8.7690173,50.8059847,"node/1094996442"
"90","Stop_138",8.7740376,50.8098353,"node/1095060336"
"91","Stop_139",8.7696604,50.8144881,"node/1105473668"
"92","Stop_142",8.7801309,50.8062304,"node/1285459227"
"93","Stop_143",8.7809321,50.805715,"node/1285459245"
"94","Stop_144",8.7799634,50.8063607,"node/1285459251"
"95","Stop_145",8.7796818,50.8063586,"node/1285459252"
"96","Stop_147",8.7716596,50.7969229,"An der Schanze"
"97","Stop_151",8.75142,50.8164815,"node/1634138007"
"98","Stop_152",8.7593229,50.8119814,"node/1634138033"
"99","Stop_153",8.7573966,50.812064,"node/1634138067"
"100","Stop_154",8.7789552,50.8100926,"Marburg Mitte"
"101","Stop_158",8.7680485,50.8405791,"Marburg"
"102","Stop_163",8.7894862,50.7996614,"node/1699401619"
"103","Stop_164",8.809464,50.7731689,"Moischt"
"104","Stop_165",8.7138851,50.7858879,"Cyriaxweimar"
"105","Stop_166",8.759569,50.7881003,"node/1699517068"
"106","Stop_167",8.7518638,50.7910429,"node/1699517116"
"107","Stop_168",8.7730688,50.8140206,"node/1699517423"
"108","Stop_171",8.7483978,50.8161161,"node/1708111903"
"109","Stop_175",8.7669466,50.7877689,"node/1758773350"
"110","Stop_176",8.7731034,50.8281713,"node/1758773554"
"111","Stop_177",8.7719858,50.8077401,"node/1777379382"
"112","Stop_178",8.7621935,50.7977593,"node/1805507095"
"113","Stop_179",8.7830511,50.8058829,"node/1830988879"
"114","Stop_180",8.7667712,50.7898369,"Stadtbüro, A1"
"115","Stop_181",8.7684104,50.7774793,"node/1831164723"
"116","Stop_184",8.7687972,50.7945763,"Rollwiesenweg"
"117","Stop_185",8.7661676,50.7963751,"node/1831841118"
"118","Stop_186",8.7692974,50.8256972,"node/1831853809"
"119","Stop_187",8.7635456,50.8081471,"Turnergarten, A1"
"120","Stop_188",8.7557352,50.7891975,"node/1831948868"
"121","Stop_189",8.7620881,50.7989714,"node/1832464905"
"122","Stop_190",8.7489645,50.8010683,"node/1832523767"
"123","Stop_191",8.748704,50.8033547,"Hohe Leuchte"
"124","Stop_192",8.7410925,50.8097294,"node/1832547091"
"125","Stop_193",8.7558396,50.8124365,"node/1832547236"
"126","Stop_194",8.7457395,50.7952474,"Marburg-Ockershausen"
"127","Stop_195",8.7601325,50.8364349,"node/1833651433"
"128","Stop_196",8.7698228,50.8376159,"node/1833651439"
"129","Stop_197",8.7661894,50.8401238,"node/1833651467"
"130","Stop_198",8.790984,50.7963943,"node/1833672963"
"131","Stop_199",8.7383658,50.7925557,"node/1833805599"
"132","Stop_200",8.75017,50.7724055,"node/1836218519"
